"column_name","column_type","null","key","default","extra"
"id","UUID","YES","","",""
"createdDateTime","TIMESTAMP","YES","","",""
"userDisplayName","VARCHAR","YES","","",""
"userPrincipalName","VARCHAR","YES","","",""
"userId","UUID","YES","","",""
"appId","VARCHAR","YES","","",""
"appDisplayName","VARCHAR","YES","","",""
"ipAddress","VARCHAR","YES","","",""
"clientAppUsed","VARCHAR","YES","","",""
"correlationId","UUID","YES","","",""
"conditionalAccessStatus","VARCHAR","YES","","",""
"isInteractive","BOOLEAN","YES","","",""
"riskDetail","VARCHAR","YES","","",""
"riskLevelAggregated","VARCHAR","YES","","",""
"riskLevelDuringSignIn","VARCHAR","YES","","",""
"riskState","VARCHAR","YES","","",""
"riskEventTypes","JSON[]","YES","","",""
"riskEventTypes_v2","JSON[]","YES","","",""
"resourceDisplayName","VARCHAR","YES","","",""
"resourceId","VARCHAR","YES","","",""
"status","STRUCT(errorCode BIGINT, failureReason VARCHAR, additionalDetails VARCHAR)","YES","","",""
"deviceDetail","STRUCT(deviceId VARCHAR, displayName VARCHAR, operatingSystem VARCHAR, browser VARCHAR, isCompliant BOOLEAN, isManaged BOOLEAN, trustType VARCHAR)","YES","","",""
"location","STRUCT(city VARCHAR, state VARCHAR, countryOrRegion VARCHAR, geoCoordinates STRUCT(altitude JSON, latitude DOUBLE, longitude DOUBLE))","YES","","",""
"appliedConditionalAccessPolicies","JSON[]","YES","","",""
